SPRUCE_ID,anoxic,oxic,both,Specialist_phenol_decomposition
SPRUCE 2055,3,2,NA,Anoxic_phenol_decomposition
SPRUCE 2056,2,0,NA,Anoxic_phenol_decomposition
SPRUCE 2057,11,31,2,Oxic_phenol_decomposition
SPRUCE 2058,5,18,NA,Oxic_phenol_decomposition
SPRUCE 2059,11,26,1,Oxic_phenol_decomposition
SPRUCE 2060,6,9,1,Oxic_phenol_decomposition
SPRUCE 2061,6,20,NA,Oxic_phenol_decomposition
SPRUCE 2062,7,14,1,Oxic_phenol_decomposition
SPRUCE 2063,8,10,NA,Ambivalent_phenol_decomposition
SPRUCE 2064,6,11,NA,Oxic_phenol_decomposition
SPRUCE 2065,7,19,NA,Oxic_phenol_decomposition
SPRUCE 2066,9,13,NA,Ambivalent_phenol_decomposition
SPRUCE 2067,13,49,2,Oxic_phenol_decomposition
SPRUCE 2068,9,12,NA,Ambivalent_phenol_decomposition
SPRUCE 2069,8,21,NA,Oxic_phenol_decomposition
SPRUCE 2070,4,5,NA,Ambivalent_phenol_decomposition
SPRUCE 2071,14,59,2,Oxic_phenol_decomposition
SPRUCE 2072,8,12,1,Oxic_phenol_decomposition
SPRUCE 2073,8,13,NA,Oxic_phenol_decomposition
SPRUCE 2074,7,19,2,Oxic_phenol_decomposition
SPRUCE 2075,7,16,NA,Oxic_phenol_decomposition
SPRUCE 2076,7,15,NA,Oxic_phenol_decomposition
SPRUCE 2077,2,1,NA,Anoxic_phenol_decomposition
SPRUCE 2078,4,8,NA,Oxic_phenol_decomposition
SPRUCE 2079,15,47,2,Oxic_phenol_decomposition
SPRUCE 2080,7,22,NA,Oxic_phenol_decomposition
SPRUCE 2081,14,21,1,Oxic_phenol_decomposition
SPRUCE 2082,9,16,NA,Oxic_phenol_decomposition
SPRUCE 2083,4,15,NA,Oxic_phenol_decomposition
SPRUCE 2086,7,8,NA,Ambivalent_phenol_decomposition
SPRUCE 2087,32,52,2,Oxic_phenol_decomposition
SPRUCE 2090,6,8,NA,Ambivalent_phenol_decomposition
SPRUCE 2092,2,7,NA,Oxic_phenol_decomposition
SPRUCE 2093,8,12,NA,Oxic_phenol_decomposition
SPRUCE 2094,4,4,NA,Ambivalent_phenol_decomposition
SPRUCE 2095,4,16,NA,Oxic_phenol_decomposition
SPRUCE 2098,2,7,NA,Oxic_phenol_decomposition
SPRUCE 2100,16,50,1,Oxic_phenol_decomposition
SPRUCE 2103,10,31,NA,Oxic_phenol_decomposition
SPRUCE 2104,3,6,NA,Oxic_phenol_decomposition
SPRUCE 2105,2,4,NA,Oxic_phenol_decomposition
SPRUCE 2108,1,0,NA,Anoxic_phenol_decomposition
SPRUCE 2109,6,10,NA,Oxic_phenol_decomposition
SPRUCE 2111,1,0,NA,Anoxic_phenol_decomposition
