compound_set,grouping,predictor,n_features,n_increase,n_decrease,median_coef,median_coef_background,p_KS,q_KS,p_wilcox,q_wilcox,p_sign,q_sign
Carboxylic acids and derivatives,Class,WT_drawdown,313,58,255,-0.35022438737800354,-0.10578663625378458,7.669598883861712e-60,2.607663620512982e-58,2.26606009784337e-16,7.704604332667458e-15,1.6801981126442786e-8,5.712673582990547e-7
Stilbenes,Class,WT_drawdown,21,15,6,0.12470890909018172,-0.14592912108437203,0.22137393833889363,0.3421233592510174,3.193856674976736e-5,5.429556347460451e-4,8.768187990542577e-5,0.001490591958392238
Flavonoids,Class,WT_drawdown,38,22,16,0.10688859350681111,-0.14597708397104694,0.7808236764397947,0.8296251562172818,1.7960758188717563e-4,0.0020355525947213238,2.636790202228848e-4,0.002241271671894521
Organooxygen compounds,Class,WT_drawdown,116,43,73,-0.06377788962489378,-0.14897085516905326,3.564163815166738e-5,2.1728300384834162e-4,6.567583861107895e-4,0.0050766458326950035,0.08316219032839908,0.28152083948018475
Naphthofurans,Class,WT_drawdown,21,14,7,0.08734969427205562,-0.14608781853468422,0.6595245728584374,0.7474611825728956,7.465655636316182e-4,0.0050766458326950035,4.806606260555595e-4,0.0032684922571778047
Isoflavonoids,Class,WT_drawdown,8,0,8,-0.4862010249306228,-0.13937062459302316,2.5460479443184525e-5,2.1641407526706846e-4,0.0013407381246525216,0.007597516039697622,0.11592034566831137,0.28152083948018475
Diazines,Class,WT_drawdown,11,0,11,-0.5082299683905683,-0.13926015008869175,7.233425198516219e-5,3.5133779535650203e-4,0.002216779244832292,0.010767213474899702,0.041701078461367176,0.2025480953837834
Prenol lipids,Class,WT_drawdown,122,29,93,-0.25044021744121814,-0.13513911622935074,2.978788336878819e-11,5.063940172693992e-10,0.0032769755714161684,0.013927146178518715,0.1156920482975477,0.28152083948018475
Keto acids and derivatives,Class,WT_drawdown,12,7,5,0.02984244289204105,-0.14306117570437882,0.32397515984126457,0.44060621738411987,0.006115139947471482,0.02310163980155893,0.05179632301401721,0.21614819026161294
Diazanaphthalenes,Class,WT_drawdown,11,1,10,-0.43638086160147566,-0.13926015008869175,3.834405950264852e-5,2.1728300384834162e-4,0.009904805952940974,0.03367634023999931,0.19083182635528045,0.40551763100497096
