SPRUCE_ID,metadata,value,coef,stderr,pval,name,qval,N,N.not.zero
SPRUCE 2267,WT_drawdown_cm,WT_drawdown_cm,-0.0954082816233283,0.11434553650934615,0.411664739450338,WT_drawdown_cm,0.7806491895722564,28,2
SPRUCE 417,WT_drawdown_cm,WT_drawdown_cm,-0.02994472078393644,0.03659424051544472,0.42062804522191843,WT_drawdown_cm,0.7806491895722564,28,1
SPRUCE 2293,WT_drawdown_cm,WT_drawdown_cm,-0.29741616339888505,0.36472399189002025,0.4222193758135495,WT_drawdown_cm,0.7806491895722564,28,4
SPRUCE 2311,WT_drawdown_cm,WT_drawdown_cm,0.11533652240401955,0.1389687042885351,0.4141251265452738,WT_drawdown_cm,0.7806491895722564,28,3
SPRUCE 2215,WT_drawdown_cm,WT_drawdown_cm,-0.20581897724249043,0.25037725783202375,0.41853177299649336,WT_drawdown_cm,0.7806491895722564,28,2
SPRUCE 2217,WT_drawdown_cm,WT_drawdown_cm,-0.02994472078394064,0.036594240515444715,0.42062804522185393,WT_drawdown_cm,0.7806491895722564,28,1
SPRUCE 491,WT_drawdown_cm,WT_drawdown_cm,0.4633883643831115,0.5635713604412189,0.41841997941209363,WT_drawdown_cm,0.7806491895722564,28,18
SPRUCE 2294,WT_drawdown_cm,WT_drawdown_cm,-0.022193151792159495,0.036806014207450694,0.5517484362269777,WT_drawdown_cm,0.7860932021514032,28,1
SPRUCE 2241,WT_drawdown_cm,WT_drawdown_cm,-0.04377262426065053,0.07168015257678235,0.5467224861474824,WT_drawdown_cm,0.7860932021514032,28,2
SPRUCE 2292,WT_drawdown_cm,WT_drawdown_cm,-0.02219315179216285,0.036806014207450694,0.5517484362269178,WT_drawdown_cm,0.7860932021514032,28,1
SPRUCE 666,WT_drawdown_cm,WT_drawdown_cm,0.19525851849910694,0.24495326240529178,0.43259768706255763,WT_drawdown_cm,0.7860932021514032,28,4
SPRUCE 689,WT_drawdown_cm,WT_drawdown_cm,-0.022193151792165376,0.036806014207450694,0.5517484362268729,WT_drawdown_cm,0.7860932021514032,28,1
SPRUCE 2240,WT_drawdown_cm,WT_drawdown_cm,0.16939584126379484,0.27109276860972015,0.537506737942663,WT_drawdown_cm,0.7860932021514032,28,3
SPRUCE 2285,WT_drawdown_cm,WT_drawdown_cm,-0.022193151792160346,0.03680601420745071,0.5517484362269627,WT_drawdown_cm,0.7860932021514032,28,1
SPRUCE 2300,WT_drawdown_cm,WT_drawdown_cm,-0.022193151792162014,0.03680601420745068,0.5517484362269327,WT_drawdown_cm,0.7860932021514032,28,1
SPRUCE 2103,WT_drawdown_cm,WT_drawdown_cm,0.024366724839653527,0.036753099521241096,0.5131760394474177,WT_drawdown_cm,0.7860932021514032,28,1
SPRUCE 2246,WT_drawdown_cm,WT_drawdown_cm,0.024622308623846546,0.036746547526116724,0.5087290216376279,WT_drawdown_cm,0.7860932021514032,28,1
SPRUCE 170,WT_drawdown_cm,WT_drawdown_cm,-0.3835937236264137,0.5257646079336737,0.4721618976248879,WT_drawdown_cm,0.7860932021514032,28,7
SPRUCE 2296,WT_drawdown_cm,WT_drawdown_cm,-0.02219315179215697,0.036806014207450694,0.5517484362270226,WT_drawdown_cm,0.7860932021514032,28,1
SPRUCE 2283,WT_drawdown_cm,WT_drawdown_cm,-0.02219315179216705,0.03680601420745072,0.5517484362268436,WT_drawdown_cm,0.7860932021514032,28,1
SPRUCE 2291,WT_drawdown_cm,WT_drawdown_cm,-0.022193151792160346,0.03680601420745071,0.5517484362269627,WT_drawdown_cm,0.7860932021514032,28,1
SPRUCE 448,WT_drawdown_cm,WT_drawdown_cm,-0.3884130608762303,0.6316749439949348,0.5439693333720815,WT_drawdown_cm,0.7860932021514032,28,14
SPRUCE 2109,WT_drawdown_cm,WT_drawdown_cm,0.259849496828854,0.42498748001466025,0.5462252965637964,WT_drawdown_cm,0.7860932021514032,28,2
SPRUCE 2282,WT_drawdown_cm,WT_drawdown_cm,-0.022193151792165376,0.036806014207450694,0.5517484362268729,WT_drawdown_cm,0.7860932021514032,28,1
SPRUCE 2105,WT_drawdown_cm,WT_drawdown_cm,0.02436672483965521,0.03675309952124107,0.5131760394473888,WT_drawdown_cm,0.7860932021514032,28,1
SPRUCE 2244,WT_drawdown_cm,WT_drawdown_cm,0.02462230862384823,0.03674654752611671,0.5087290216375991,WT_drawdown_cm,0.7860932021514032,28,1
SPRUCE 2299,WT_drawdown_cm,WT_drawdown_cm,-0.022193151792163704,0.03680601420745072,0.551748436226903,WT_drawdown_cm,0.7860932021514032,28,1
SPRUCE 2238,WT_drawdown_cm,WT_drawdown_cm,0.09895196436403958,0.130196375047972,0.4540790938694814,WT_drawdown_cm,0.7860932021514032,28,2
